mdb_id,onestop_id,method
mdb-2296,f-browncounty~mn~us,url
mdb-2297,f-amtrakvermonter~vt~us,url
mdb-2298,f-asotincounty~wa~us,url
mdb-2299,f-blueapplebus~ma~us,url
mdb-2300,f-biddeford~saco~old~orchard~beach,url
mdb-2301,f-cctbus~mn~us,url
mdb-2302,f-ccttransit~wa~us,url
mdb-2303,f-9yum-thejo,url
mdb-2304,f-davenport~citi~bus,url
mdb-2306,f-eccog~co~us,url
mdb-2307,f-elwhatransit~wa~us,url
mdb-2308,f-four~county~transit~va~us,url
mdb-2309,f-granttransit~wa~us,url
mdb-2310,f-guemesislandferry~wa~us,url
mdb-2311,f-homage~wa~us,url
mdb-2313,f-jackson~tn~us,url
mdb-2314,f-kaltran~wa~us,url
mdb-2316,f-kimballcountytransit~ne~us,url
mdb-2317,f-kiryas~joel~ny,url
mdb-2318,f-lakechelan~wa~us,url
mdb-2320,f-lummitransit~wa~us,url
mdb-2321,f-megabus~us,url
mdb-2322,f-miamibeach,url
mdb-2323,f-miamigardens~fl~us,url
mdb-2324,f-middletown~ny~us,url
mdb-2325,f-moccasinexpress~wa~us,url
mdb-2326,f-muckleshoot~wa~us,url
mdb-2327,f-nisqually~wa~us,url
mdb-2328,f-nlte~nv~us,url
mdb-2330,f-9x-bustang~co~us,url
mdb-2331,f-pahtopublicpassage~wa~us,url
mdb-2332,f-9rb-lanetransitdistrict,name_0.80
mdb-2346,f-9w-navajotransitsystem,url
mdb-2347,f-dp3-pace,url
mdb-2348,f-9v1z-viametropolitantransit,name_0.89
mdb-2349,f-9x0-uta,url
mdb-2350,f-87z-thebus,url
mdb-2351,f-9qqj-rtcsnv,url
mdb-2352,f-memphis~area~transit~authority,url
mdb-2353,f-dr7-westchestercountybee~linesystem,url
mdb-2356,f-9wvk-mountainmetropolitantransit,url
mdb-2395,f-9xj5s-viamobilityservices~co~us,url
mdb-2412,f-djm2-regionaltransitsystem,url
mdb-2413,f-cityofgolden~co~us,url
mdb-2414,f-met~transit~ia,url
mdb-2415,f-dnwe-radford~va~us,url
mdb-2416,f-river~valley~transit~authority,name_0.81
mdb-2418,f-morrowcounty~or~us,url
mdb-2419,f-gadsden~al~us,url
mdb-2420,f-muletown,url
mdb-2425,f-9q9-scmtdcom,url
mdb-2426,f-dnh-grtaxpress,url
mdb-2433,f-avon~co~us,url
mdb-2434,f-dqcjj-arlingtontransit,name_1.00
mdb-2439,f-bctransit~100~mile~house,name_0.80
mdb-2440,f-orangeville~transit~ca,name_0.86
mdb-2444,f-sarnia~on~ca,name_0.85
mdb-2448,f-9qb-sonomacounty~ca~us,name_0.80
mdb-2455,f-9q9-actransit,name_0.85
mdb-2456,f-central~transit~wa,url
mdb-2609,f-dqcj1-fairfaxcue,url
mdb-2611,f-st~lawrence~county~ny,url
mdb-2616,f-blueskylimovail,url
mdb-2621,f-burnspaiute~or~us,url
mdb-2641,f-dry0-cityofsouthportland,url
mdb-2642,f-dry0-maine~greaterportlandmetrobus,url
mdb-2648,f-huntingtonpark~ca~us,url
mdb-2649,f-dq9k-wata,url
mdb-2650,f-dreh-gloversvilletransitservices,url
mdb-2652,f-9vxz-jatran~ms~us,url
mdb-2662,f-dng1-transitauthorityofrivercity,url
mdb-2667,f-santa~cruzer,url
mdb-2679,f-drt8-nps~boha~ferries,url
mdb-2684,f-9q9-acealtamontcorridorexpress,url
mdb-2706,f-c20-wilsonville~or~us,url
mdb-2708,f-9q8-samtrans,url
mdb-2739,f-c214-sandy~or~us,url
mdb-2740,f-clackamascounty~or~us,url
mdb-2741,f-clackamascounty~or~us~flex,url
mdb-2840,f-cttransit~hartford~line,url
mdb-2852,f-9r0-redding~ca~us,url
mdb-2854,f-dp3-metra,url
mdb-2855,f-kingman~az,url
mdb-2856,f-coolidge~az,url
mdb-2857,f-bisbee~az,url
mdb-2858,f-sedona~shuttle~az,url
mdb-2860,f-miami~az,url
mdb-2861,f-galveston~tx~us,url
mdb-2863,f-show~low~az,url
mdb-2864,f-douglas~az,url
mdb-2880,f-9q9hy-mountainview,name_0.94
mdb-2886,f-9q8y-sfmta,name_0.86
mdb-2894,f-9qdc-clovistransit~ca~us,url
mdb-2936,f-alexandria~va~us~paratransit,url
mdb-2937,f-9qbb-marintransit,url
mdb-2947,f-9qbc9-petalumatransit~petaluma~ca~us,name_1.00
mdb-2948,f-9qbdx-santarosacitybus,name_1.00
mdb-3032,f-butler~transit~authority~pa,name_0.80
mdb-3034,f-dr41-ceciltransit,url
mdb-3035,f-dr4e-patco,url
ntd-41,f-alaska~railroad~corporation,url
ntd-294,f-pullman~transit~wa~us,url
ntd-332,f-okanogan~county~transportation~nutrition,url
ntd-341,f-selkirks~pend~oreille~transit~authority,url
ntd-404,f-shoshone~county,url
ntd-10002,f-manchester~transit~authority,url
ntd-10004,f-area~transit~authority~north~central~pa,name_0.83
ntd-10015,f-lewiston~me~us,url
ntd-10087,f-nashua~transit~system,url
ntd-10107,f-milford~transit~district,url
ntd-10133,f-boston~express~bus~inc,url
ntd-10159,f-vna~home~healthcare~hospice~community~service,url
ntd-10183,f-steamshipauthority~ma~us,url
ntd-11152,f-mashantucket~pequot~tribal~nation,url
ntd-20005,f-chemung~c~tran,url
ntd-22929,f-seneca~nation~of~indians,url
ntd-30002,f-the~tri~state~transit~authority,url
ntd-30010,f-dr4r-lanta,url
ntd-30054,f-dr28-wwwcatabuscom,url
ntd-30116,f-lower~anthracite~transit~system,url
ntd-30122,f-randolph~county~senior~center,url
ntd-30124,f-warren~county~transit~authority~oh~us,url
ntd-30129,f-anne~arundel~county,url
ntd-40024,f-metra~ga~us,url
ntd-40054,f-johnson~city~tn~us,url
ntd-40055,f-city~of~bristol~tennessee,url
ntd-40056,f-dr8-rochester~geneseeregionaltransportationauthority,name_0.83
ntd-40060,f-hattiesburg~mi~us,url
ntd-40080,f-kats~tn,url
ntd-40101,f-spartanburg~sc~us,url
ntd-40117,f-municipality~of~vega~baja,url
ntd-40131,f-dnq-dcrides,name_0.87
ntd-40137,f-municipality~of~bayamon,url
ntd-40184,f-city~of~bowling~green,url
ntd-40188,f-vitran~vi~us,url
ntd-40190,f-east~tennessee~human~resource~agency~inc,url
ntd-40206,f-tricounty~link~sc~us,url
ntd-40989,f-cuats~tn~us,url
ntd-40999,f-9qb-sonomacounty~ca~us,name_0.81
ntd-41032,f-maysville~ky~us,url
ntd-41083,f-glasgow~ky~us,url
ntd-41136,f-pigeon~forge~tn~us,url
ntd-44929,f-city~of~fort~lauderdale,url
ntd-50004,f-lacrosse~wi~us,url
ntd-50020,f-springfield~oh~us,url
ntd-50028,f-st~cloud~metropolitan~transit~commission,url
ntd-50029,f-bay~metropolitan~transit~authority,url
ntd-50043,f-evansville~in~us,url
ntd-50090,f-9qc0-soltrans~ca~us,name_0.82
ntd-50142,f-steel~valley~regional~transit~authority,url
ntd-50145,f-city~of~kokomo,url
ntd-50163,f-licking~county~ohio,url
ntd-50205,f-c3x-edmontontransitsystem,name_0.84
ntd-50209,f-central~indiana~regional~transportation~authority,url
ntd-50232,f-macomb~il~us,url
ntd-50244,f-isabella~county~transportation~commission,url
ntd-50281,f-cass~county~council~on~aging,url
ntd-50327,f-south~central~illinois~mass~transit~district,url
ntd-50347,f-blue~river~services,url
ntd-50386,f-houghton~mi~us,url
ntd-50502,f-galesburg~il~us,url
ntd-60023,f-lake~charles~la~us,url
ntd-60032,f-9vrf-neworleansrta,url
ntd-60040,f-abilene~tx~us,url
ntd-60058,f-st~bernard~parish,url
ntd-60080,f-terrebonne~parish~consolidated~government,url
ntd-60086,f-fort~smith~ar~us,url
ntd-60091,f-9qbb-marintransit,name_0.86
ntd-60093,f-texarkana~urban~transit~district,url
ntd-60113,f-cleburne~tx~us,url
ntd-60118,f-edmond~ok~us,url
ntd-60133,f-mckinney~avenue~transit~authority,url
ntd-60161,f-eureka~springs~ak~us,url
ntd-60167,f-roswell~nm~us,url
ntd-60190,f-hobbs~nm~us,url
ntd-60196,f-tangipahoa~voluntary~council~on~aging,url
ntd-60214,f-logan~county~historical~society,url
ntd-66343,f-san~marcos~tx~us,url
ntd-70016,f-go~como,url
ntd-70043,f-jefferson~mo~us,url
ntd-70248,f-lyon~county~ks~us,url
ntd-80003,f-cb74-matbus,url
ntd-80012,f-great~falls~transit~district~mt,url
ntd-80013,f-casper~wy~us,url
ntd-80121,f-crawford~area~transportation~authority~pa,name_0.82
ntd-80188,f-jackson~wy~us,url
ntd-80280,f-archuleta~county,url
ntd-88293,f-park~county~mt~us,url
ntd-90091,f-sarnia~on~ca,name_0.83
ntd-90162,f-9qc2-trideltatransit,name_1.00
ntd-90163,f-9q5-govcbus,url
ntd-90217,f-manteca~transit,url
ntd-90237,f-kauai,url
ntd-90241,f-maui~county~transit,url
ntd-90247,f-alhambra~ca~us,url
ntd-90258,f-carson~ca~us,url
ntd-91122,f-regional~transportation~authority~of~pima~county,url
ntd-99419,f-yavapai~regional~transit,url
ntd-99436,f-gila~river~indian~community,url
tfs-376,f-dhv-sarasotacountyareatransit,url
tfs-392,f-linktransit~nc~us,name_0.83
tfs-473,f-sandy~or~us~flex,name_0.83
tfs-753,f-9zv-twin~cities~minnesota,name_0.83
tfs-1057,f-9q5c-culvercitybus,name_0.82
tld-61,f-dqc-virginiarailwayexpress,url
tld-77,f-dp89-beloittransit~wi~us,url
tld-89,f-dnru-chapel~hill~transit~nc~us,url
tld-98,f-dnru-durham~area~transit~authority~nc~us,url
tld-170,f-9rc-cascadeseast~or~us,url
tld-202,f-dnr-tta~regionalbus~nc~us,url
tld-217,f-9v1z-viametropolitantransit,url
tld-223,f-dr1-rabbittransit,url
tld-235,f-9y7v-metropolitantulsatransitauthority,url
tld-279,f-dr4r-lanta,url
tld-288_1,f-dqcx8-charmcitycirculator,url
tld-294,f-c26-yakimatransit,url
tld-319,f-de30-ati,url
tld-351,f-dhv-sarasotacountyareatransit,url
tld-351_1,f-dhv-sarasotacountyareatransit,url
tld-366,f-cambria~county~transit~authority,name_0.86
tld-395,f-9ydy-wichitatransit,url
tld-401,f-dpx-wwwnftacom,url
tld-438,f-9q5b-torrancetransit,url
tld-461,f-9qj-sunlinetransitagency,url
tld-471,f-9q5f-glendalebeeline,url
tld-478,f-dn5b-georgiatechtrolley~stingershuttles,url
tld-478_1,f-dn5b-georgiatechtrolley~stingershuttles,url
tld-490,f-dnjq-greenlink,url
tld-492,f-dhx-tri~rail,url
tld-674,f-dpe0-kalamazoometrotransit,url
tld-679,f-9t9e-cityofsierravista,url
tld-688,f-9qfyf-jumparoundcarson,url
tld-757,f-dnpz-fast,url
tld-757_1,f-dnpz-fast,url
tld-764,f-djmu-jacksonvilletransportationauthority,url
tld-820,f-c25y-valleytransit,url
tld-881,f-9qh1-norwalktransitsystem,url
tld-942,f-djjg-lakecounty,url
tld-962,f-dnq5-greenwaypublictransportation,url
tld-1039,f-9yum-kuonwheels~lawrencetransitsystem,url
tld-1200,f-rts~seneca~ny,url
tld-1201,f-rts~wyoming~ny,url
tld-1213_1,f-sandusky,url
tld-1256,f-santa~clarita,url
tld-1301,f-santa~ynez~valley~transit,url
tld-1319,f-ncrtd~nm,url
tld-1325,f-park~city~ut,url
tld-1342,f-rosemead~ca~us,url
tld-1654,f-city~of~lompoc~transit,url
tld-1655,f-memphis~area~transit~authority,url
tld-1660,f-topeka~metro,url
tld-1660_1,f-topeka~metro,url
tld-1716,f-toledo~area~regional~transit~authority,url
tld-1716_1,f-toledo~area~regional~transit~authority,url
tld-1717,f-western~reserve~transit~authority,url
tld-2276,f-uga~ga~us,url
tld-2289,f-piercecountyferries~wa~us,url
tld-2290,f-seattlemonorail~wa~us,url
tld-3364,f-rioc~nyc,url
tld-3368,f-rockland~ny~us,url
tld-3390,f-jefferson~parish,url
tld-4129,f-gary~public~transportation~in~us,url
tld-4130,f-mountain~mobility~nc~us,url
tld-4131,f-clarksville~tn~us,url
tld-4134,f-freedom~transit~pa~us,url
tld-4135,f-high~point~nc~us,url
tld-4136,f-madison~county~transit~il~us,url
tld-4144,f-jaunt~inc~va,url
tld-4145,f-danville~va~us,url
tld-4210,f-c20-columbiacountyrider,url
tld-4211,f-c0p-sunsetempiretransportationdistrict,url
tld-4260,f-tulare~county~regional~transit~agency,url
tld-4273,f-ata~bus~ks,url
tld-4298,f-capitalareatransit~pa,url
tld-4327,f-lax~flyaway,url
tld-4379,f-fullington~trailways~ny,url
tld-4380,f-monsey~trails~ny,url
tld-4385,f-hartransit~ct~us,url
tld-4386,f-west~hollywood,url
tld-4436,f-cttransit~hartford~line,url
tld-4454,f-chapman~university,url
tld-4456,f-columbia~university,url
tld-4458,f-emory~hospital~midtown,url
tld-4459,f-epta~wv,url
tld-4462,f-harvard~university,url
tld-4465,f-mercy~college,url
tld-4466,f-miller~transportation~in~ky,url
tld-4469,f-north~fork~area~transit,url
tld-4470,f-ozark~regional~transit,url
tld-4472,f-university~of~chicago,url
tld-4473,f-university~of~connecticut,url
tld-4506,f-dhyf-martin~county,url
tld-4548,f-river~valley~transit~authority,url
tld-4551,f-area~transit~authority~north~central~pa,url
tld-4553,f-county~of~lackawanna~transit,url
tld-4555,f-luzerne~county~transit~authority,url
tld-4659,f-butler~transit~authority~pa,url
tld-4661,f-indiana~county~transit~authority,url
tld-4663,f-shenango~valley~shuttle~service~pa,url
tld-4665,f-hazleton~public~transit,url
tld-4667,f-city~of~cerritos,url
tld-4668,f-cooperative~alliance~for~seacoast~transportation,url
tld-4669,f-altoona~metro~transit,url
tld-4671,f-cambria~county~transit~authority,url
tld-4674,f-crawford~area~transportation~authority~pa,url
tld-4688,f-schuylkill~transportation~system,url
tld-4694,f-sheridan~wy~us,url
tld-4728,f-lexpress~lexington~ma,url
tld-4756,f-biddeford~saco~old~orchard~beach,url
tld-4757,f-stevens~point~wi,url
tld-4763,f-sarnia~on~ca,name_0.83
tld-4769,f-brightline~fl~us,url
tld-4771,f-cambria~county~transit~authority,name_0.86
tld-4777,f-athens~clarke~county~ga,url
tld-4781,f-inglewood~ca~us,url
tld-4791,f-kootenai~citylink,url
tld-4792,f-kootenai~citylink~rural,url
tld-4831,f-muskegon~area~transit,url
tld-4834,f-texas~state~san~marcos,url
tld-4834_1,f-texas~state~san~marcos,url
tld-5503,f-mid~mon~valley~transit~authority~pa,url
tld-5531,f-lebanon~transit~pa~us,url
tld-5537,f-nm~dot~park~and~ride~nm~us,url
tld-5547,f-imperial~valley~transit~ca~us,url
tld-5551,f-connect~douglas~ga~us,url
tld-5579,f-twintransit~wa~us,url
tld-5732,f-governorsislandferry~ny~us,url
tld-5739,f-libertylandingferry~ny~us,url
tld-5741,f-megabus~us,url
tld-5746,f-pats~co~us,url
tld-5748,f-portarthur~tx~us,url
tld-5749,f-rainbowrider~mn~us,url
tld-5750,f-rivervalley~ct~us,url
tld-5751,f-ruralresources~wa~us,url
tld-5753,f-smart~mn~us,url
tld-5754,f-snowgoosetransit~wa~us,url
tld-5755,f-solidground~wa~us,url
tld-5756,f-specialmobilityservices~wa~us,url
tld-5757,f-steamboatsprings~co~us,url
tld-5759,f-tricityroadrunner~ne~us,url
tld-5760,f-tulaliptransit~wa~us,url
tld-5761,f-unitedcap~mn~us,url
tld-5762,f-valleyexpress~ca~us,url
tld-5769,f-kanawha~valley~regional~transportation~authority,url
tld-5780,f-augusta~ga~us,url
tld-5781,f-adirondack~trailways~adt,url
tld-5783,f-adirondack~trailways~fab,url
tld-5787,f-glen~cove~ny,url
tld-5788,f-hudson~rail~link,url
tld-5790,f-monroe~bus~lines~kiryas~joel~ny,url
tld-5791,f-niagra~county~ny,url
tld-5863,f-rochester~institute~of~technology,url
tld-5864,f-concho~valley~tx~us,url
tld-5873,f-macatawa~area~express,url
tld-5877,f-schoharie~county~public~transit,url
tld-5878,f-jefferson~mn~us,url
tld-5893,f-billings~mt~us,url
tld-5895,f-skagit~wa~us,url
tld-5899,f-lakeland~passio,url
tld-5902,f-transit~orange~ny~us,url
tld-6095,f-bismarck~nd~us,url
tld-6670,f-reno~county~ks~us,url
tld-6674,f-boston~light~tour,url
tld-6675,f-bryce~canyon~shuttle,url
tld-6676,f-guis~ferry~service~fl,url
tld-6677,f-guis~ferry~service~ms,url
tld-6678,f-hafe~shuttle~transport,url
tld-6679,f-mariposa~grove~shuttle~service,url
tld-6681,f-yosemite~valley~shuttle,url
tld-6682,f-zion~canyon~shuttle,url
tld-6708,f-open~plains~transit~ne,url
tld-6713,f-beckley~wv~us,url
tld-6724,f-9mu-irvine~ca~us,url
tld-6735,f-dq0v-jacksonvilletransit,url
tld-6740,f-coast~transit~ms~us,url
tld-6741,f-rock~hill~sc~us,url
tld-6743,f-maricopa~express~az,url
tld-6745,f-columbia~county,url
tld-6747,f-oswego~county,url
tld-6748,f-dpx-wwwnftacom~rail,url
tld-6772,f-loveland~transit~co~us,url
tld-6773,f-wave~mobile~al~us,url
tld-6775,f-gatlinburg~tn~us,url
tld-6777,f-oneonta,url
tld-6785,f-westmoreland~pa~us,url
tld-6883,f-lake~erie~mi~us,url
tld-6900,f-acadia~national~park~island~explorer,url
tld-6902,f-bandalier~national~monument,url
tld-6904,f-denali~national~park,url
tld-6905,f-fort~matanzas~national~monument,url
tld-6906,f-fort~sumter~national~historic~park,url
tld-6907,f-giant~forest~shuttle,url
tld-6908,f-glacier~national~park,url
tld-6909,f-statue~of~liberty~ferries,url
tld-7019,f-sb~transpo~in~us,url
tld-7021,f-endless~mountains~transportation~authority,url
tld-7023,f-lower~anthracite~transit~system,url
tld-7025,f-pottstown~area~rapid~transit,url
tld-7027,f-fayette~area~coordinated~transportation,url
tld-7030,f-new~castle~area~transit~authority,url
tld-7034,f-seldovia~village~tribe,url
tld-7035,f-blue~water~area~transportation~commission,url
tld-7036,f-decatur~il~us,url
tld-7037,f-high~valley~transit~district,url
tld-7038,f-laredo~tx~us,url
tld-7039,f-lorain~county~oh~us,url
tld-7040,f-rts~genesee,url
tld-7041,f-rts~ontario,url
tld-7042,f-rts~orleans,url
tld-7043,f-rts~wyoming,url
tld-7045,f-marquette~county~transit~authority,url
tld-7046,f-tuscaloosa~county~parking~and~transit~authority,url
tld-7056,f-dnmy-appalcart,url
tld-7066,f-dnkc-cherokeetransit,url
tld-7067,f-ocpt~nc~us,url
tld-7068,f-west~virginia~university,url
tld-7068_1,f-west~virginia~university,url
tld-7824,f-bangor~me~us,url
tld-7827,f-cuats~tn~us,url
tld-7829,f-lawrence~county~transit~oh~us,url
tld-7841,f-edmond~ok~us,url
tld-7846,f-macon~bibb~county~ga~us,url
tld-7848,f-indian~river~county,url
tld-7850,f-potomac~valley~transit~authority,url
tld-7866,f-cranberry~isles,url
tld-7870,f-wests~bus~service,url
tld-7871,f-western~maine~transportation,url
tld-7885,f-ocpt~nc~us,url
tld-7914,f-hendry~co~bocc,url
tld-7915,f-capital~area~rural~transportation,url
tld-7925,f-djwq-chathamareatransit~ferry,url
tld-7927,f-brownsville~tx~us,url
tld-7929,f-fond~du~lac,url
tld-7930,f-mission~viejo~shuttle,url
tld-7941,f-osu~stillwater~community~transit,url
