geoid,lat,lon
100030115001,39.8016274,-75.5380642
100030136114,39.7163925,-75.7003856
100030028002,39.7406546,-75.5511614
100030120001,39.7547462,-75.629342
100030120002,39.7419118,-75.629455
100030144031,39.6825513,-75.7714945
100010402052,39.2808831,-75.596361
100030136072,39.7353134,-75.7005851
100030130001,39.7202787,-75.6399243
100030130002,39.7168916,-75.6483025
100030131001,39.7294934,-75.640995
100010405011,39.1793007,-75.5172722
100050512043,38.5283684,-75.0566175
100030113001,39.8107245,-75.5034099
100050507061,38.6162571,-75.1132659
100050507062,38.6096948,-75.1385569
100050511032,38.6526477,-75.0791653
100050507031,38.5954281,-75.2383843
100030140003,39.6864928,-75.6859614
100030135013,39.7604216,-75.6540132
100030135012,39.75114,-75.6400838
100030135011,39.801592,-75.6891934
100030139052,39.6499053,-75.6848635
100030149063,39.6397272,-75.6661086
100030101062,39.8203357,-75.4608936
100030166104,39.4636679,-75.7275515
100030163061,39.6409301,-75.6416329
100030139031,39.6435673,-75.6985621
100030028001,39.7487618,-75.5492167
100030002001,39.7688753,-75.5259941
100010414002,39.1573514,-75.534978
100030136111,39.7253715,-75.7071673
100030136112,39.7374821,-75.7156404
100050501053,38.8662485,-75.3601618
100010413002,39.1517075,-75.5219087
100010425003,38.9212622,-75.4319917
100030149073,39.6422492,-75.6601384
100050508082,38.7483215,-75.2123442
100050506043,38.5829528,-75.2748102
100030135063,39.7637247,-75.7325997
100010405022,39.1909886,-75.5007381
100030029003,39.7394785,-75.5455049
100030126002,39.721984,-75.605357
100030005001,39.7569744,-75.5345054
100030006011,39.7554246,-75.5263648
100030103001,39.8015405,-75.473848
100030104001,39.7927992,-75.4737853
100030164041,39.5785448,-75.619614
100039901000,39.5884233,-75.5353703
100030105024,39.7654565,-75.4844294
100030137003,39.7069566,-75.7151999
100030136121,39.7656303,-75.6953545
100030168084,39.4241764,-75.6428512
100030143022,39.6920891,-75.7680578
100030166134,39.4561858,-75.6950486
100010433002,39.1762117,-75.5414428
100030114003,39.8043199,-75.5266153
100030166132,39.4574711,-75.709848
100030139051,39.6432647,-75.6817563
100030166131,39.4638224,-75.7052965
100030166102,39.468377,-75.732142
100030121002,39.7457376,-75.6170182
100030144021,39.677921,-75.7577702
100030144032,39.6827671,-75.7641933
100030144033,39.6751451,-75.7686617
100030105021,39.7722379,-75.48937
100030105022,39.7668923,-75.4981634
100050506031,38.5932536,-75.3000153
100050506042,38.5752084,-75.2809465
100050508081,38.7480911,-75.2000934
100030122002,39.7522097,-75.6002972
100030122003,39.7462383,-75.5961929
100030145011,39.6866828,-75.7459501
100030147021,39.6536286,-75.7418291
100030147031,39.6729322,-75.7309515
100050507102,38.6344828,-75.1685835
100050503042,38.7116416,-75.6009023
100030124003,39.7364901,-75.6035767
100030124004,39.7346354,-75.6135938
100030125001,39.7369248,-75.5768611
100030148091,39.5995082,-75.7092708
100030124002,39.7367373,-75.5990486
100030168063,39.3880653,-75.691512
100030118004,39.8166022,-75.601439
100030163091,39.6455429,-75.6033217
100030168071,39.4370689,-75.614908
100030166143,39.4589445,-75.6579013
100030168082,39.4182218,-75.6805257
100030168083,39.3948976,-75.6412588
100030166101,39.4329514,-75.7396619
100030166111,39.5289647,-75.6816907
100050501041,38.8913648,-75.4342331
100050504071,38.6865708,-75.5794215
100050510081,38.729895,-75.1264132
100050507091,38.6426627,-75.1844281
100050509052,38.7520026,-75.1761871
100030140001,39.6899192,-75.6973684
100030131002,39.7250748,-75.6449206
100030131003,39.7224892,-75.6521966
100030149041,39.6454949,-75.650077
100050503031,38.8105645,-75.6665829
100050501031,38.8615524,-75.2949042
100050515022,38.5426834,-75.2460077
100050506012,38.5514326,-75.3452718
100050515023,38.5105498,-75.2917895
100050511023,38.7035776,-75.080847
100050507012,38.6379711,-75.2433138
100030112041,39.8165162,-75.4778254
100030112042,39.8189092,-75.4964619
100030112051,39.8220216,-75.5091973
100030142001,39.6864047,-75.7218527
100030005002,39.7554493,-75.5379006
100030005004,39.7524625,-75.5448987
100030006012,39.7525272,-75.5293307
100010419002,39.175618,-75.6909134
100010419003,39.155143,-75.6944462
100010410003,39.1536917,-75.4726528
100010401002,39.1992704,-75.6765832
100010422082,39.0351263,-75.4906409
100010428011,38.9865736,-75.6669232
100019800001,39.1210308,-75.4663292
100010422081,39.0451905,-75.4733865
100030119002,39.7779101,-75.610666
100030112062,39.819099,-75.5300979
100030113002,39.8085506,-75.5095709
100010429002,38.9323808,-75.504255
100010420001,39.0865047,-75.680258
100019900000,39.1198917,-75.3068808
100030105023,39.7649811,-75.5020811
100010418021,39.1262952,-75.5908479
100010419001,39.1229082,-75.7104558
100030148093,39.5873981,-75.688731
